Corri el:
mar nov 10 11:01:54 -05 2020
begin of the script
['1G4I', '1HK0', '1IET', '1IMQ', '1LVE', '1MSI', '1ONC', '1P2P', '1PDO', '1QND', '1SSO']
analyzing 1G4I
analzying FA22A
size of 1G4I = 3925
Graph (s) |  Centrality(s)
  12.5717  |  1.7211 
  11.9177  |  1.8672 
  7.9304  |  0.8952 
  6.7917  |  0.8705 
  6.6663  |  0.9078 
  6.3392  |  0.8614 
  6.1243  |  0.8761 
  6.0797  |  0.8756 
  5.9776  |  0.8695 
  11.7570  |  1.7763 
  8.6727  |  0.8915 
  6.6007  |  0.8183 
  6.4178  |  0.7916 
  12.4869  |  1.6261 
  11.9185  |  1.6543 
  6.1305  |  0.9074 
  6.1688  |  0.9137 
analyzing 1MSI
analzying DA36A
size of 1MSI = 2144
Graph (s) |  Centrality(s)
  2.1959  |  0.1949 
  2.1049  |  0.2094 
  2.0824  |  0.2221 
  2.2310  |  0.2055 
  2.3558  |  0.2184 
  2.2951  |  0.2137 
  2.2933  |  0.1888 
  2.2931  |  0.1977 
  2.3221  |  0.2082 
  2.2467  |  0.2003 
  2.2555  |  0.1978 
  2.3045  |  0.2188 
  2.3324  |  0.2032 
  2.3044  |  0.2011 
  4.0933  |  0.3973 
  2.1437  |  0.1980 
  3.9383  |  0.4103 
  4.1775  |  0.4153 
  4.2032  |  0.3788 
  4.2555  |  0.3812 
analzying RA47A
size of 1MSI = 2142
Graph (s) |  Centrality(s)
  4.1747  |  0.3620 
  4.2250  |  0.3820 
  4.2603  |  0.3597 
  3.8504  |  0.3666 
  3.8301  |  0.3533 
  2.3102  |  0.1933 
  2.1543  |  0.1952 
  2.1496  |  0.1820 
  2.1581  |  0.1849 
  2.1367  |  0.1940 
  2.1576  |  0.1772 
  3.7063  |  0.3685 
  3.8491  |  0.3655 
  3.8179  |  0.3514 
  3.8572  |  0.3881 
  3.8172  |  0.3674 
  3.8244  |  0.3760 
  3.8495  |  0.3579 
  2.1304  |  0.1893 
  2.1364  |  0.1840 
analzying DA58N
size of 1MSI = 2142
Graph (s) |  Centrality(s)
  2.2127  |  0.3809 
  3.6536  |  0.7431 
  2.1914  |  0.3659 
  2.1626  |  0.3843 
  2.1732  |  0.3732 
  3.8881  |  0.7518 
  3.9412  |  0.3664 
  2.0786  |  0.3641 
  3.8457  |  0.7480 
  3.8600  |  0.7560 
  3.8714  |  0.7314 
  3.8777  |  0.7570 
  2.6053  |  0.5949 
  2.3211  |  0.4139 
  4.3073  |  0.8251 
  4.3071  |  0.8269 
  4.2324  |  0.7680 
  3.9549  |  0.7878 
  4.1919  |  0.8423 
  4.2551  |  0.7892 
analzying EA25A
size of 1MSI = 2168
Graph (s) |  Centrality(s)
  4.3139  |  0.3710 
  2.3641  |  0.2227 
  2.3559  |  0.2353 
  2.3347  |  0.2001 
  2.2426  |  0.1953 
  2.1773  |  0.1789 
  2.1532  |  0.1723 
  2.1186  |  0.1678 
  2.1490  |  0.1765 
  2.1485  |  0.1732 
  2.1467  |  0.1707 
  3.9149  |  0.3395 
  3.9142  |  0.3539 
  4.0274  |  0.4049 
  4.3245  |  0.3518 
  4.3351  |  0.3581 
  2.3909  |  0.1734 
  2.3962  |  0.1785 
  2.3402  |  0.1862 
  2.3408  |  0.2090 
analzying RA39A
size of 1MSI = 2140
Graph (s) |  Centrality(s)
  2.3219  |  0.1955 
  2.2911  |  0.1950 
  2.3362  |  0.2225 
  3.9411  |  0.3978 
  3.9643  |  0.3816 
